qHawaxID,timestamp,idPollutant,Value
45,"2021-04-19 15:00:00",6,21.933
45,"2021-04-19 15:00:00",7,9.077
45,"2021-04-19 17:00:00",1,1645.777
45,"2021-04-19 17:00:00",2,8.76
45,"2021-04-19 17:00:00",3,46.552
45,"2021-04-19 17:00:00",4,43.475
45,"2021-04-19 17:00:00",5,44.623
45,"2021-04-19 17:00:00",6,20.216
45,"2021-04-19 17:00:00",7,11.583
45,"2021-04-19 23:00:00",1,1950.492
45,"2021-04-19 23:00:00",2,17.772
45,"2021-04-19 23:00:00",3,71.545
45,"2021-04-19 23:00:00",4,44.644
45,"2021-04-19 23:00:00",5,53.849
45,"2021-04-19 23:00:00",6,16.425
45,"2021-04-19 23:00:00",7,5.1
45,"2021-04-20 00:00:00",1,2832.598
45,"2021-04-20 00:00:00",2,20.809
45,"2021-04-20 00:00:00",3,72.64
45,"2021-04-20 00:00:00",4,44.567
45,"2021-04-20 00:00:00",5,60.368
45,"2021-04-20 00:00:00",6,18.167
45,"2021-04-20 00:00:00",7,3.696
45,"2021-04-20 03:00:00",1,1506.565
45,"2021-04-20 03:00:00",2,17.187
45,"2021-04-20 03:00:00",3,73.964
45,"2021-04-20 03:00:00",4,44.222
45,"2021-04-20 03:00:00",5,68.711
45,"2021-04-20 03:00:00",6,21.632
45,"2021-04-20 03:00:00",7,3.288
45,"2021-04-25 22:00:00",1,539.796
45,"2021-04-25 22:00:00",2,11.271
45,"2021-04-25 22:00:00",3,72.161
45,"2021-04-25 22:00:00",4,44.481
45,"2021-04-25 22:00:00",5,18.084
45,"2021-04-25 22:00:00",6,4.324
45,"2021-04-25 22:00:00",7,6.678
47,"2021-04-19 14:00:00",1,3080.8
47,"2021-04-19 14:00:00",2,10.441
47,"2021-04-19 14:00:00",3,50.502
47,"2021-04-19 14:00:00",4,33.672
47,"2021-04-19 14:00:00",5,80.417
47,"2021-04-19 14:00:00",6,60.129
47,"2021-04-19 14:00:00",7,14.245
47,"2021-04-19 15:00:00",1,2147.59
47,"2021-04-19 15:00:00",2,10.984
47,"2021-04-19 15:00:00",3,51.11
47,"2021-04-19 15:00:00",4,28.684
47,"2021-04-19 15:00:00",5,65.46
47,"2021-04-19 15:00:00",6,56.771
47,"2021-04-19 15:00:00",7,13.905
47,"2021-04-19 17:00:00",1,1293.288
47,"2021-04-19 17:00:00",2,17.764
47,"2021-04-19 17:00:00",3,53.434
47,"2021-04-19 17:00:00",4,44.522
47,"2021-04-19 17:00:00",5,53.085
47,"2021-04-19 17:00:00",6,54.561
47,"2021-04-19 17:00:00",7,10.69
47,"2021-04-19 23:00:00",1,2362.689
47,"2021-04-19 23:00:00",2,23.372
47,"2021-04-19 23:00:00",3,78.882
47,"2021-04-19 23:00:00",4,19.236
47,"2021-04-19 23:00:00",5,47.204
47,"2021-04-19 23:00:00",6,41.479
47,"2021-04-19 23:00:00",7,9.685
47,"2021-04-20 00:00:00",1,1720.727
47,"2021-04-20 00:00:00",2,23.298
47,"2021-04-20 00:00:00",3,79.538
47,"2021-04-20 00:00:00",4,42.339
47,"2021-04-20 00:00:00",5,71.874
47,"2021-04-20 00:00:00",6,47.07
47,"2021-04-20 00:00:00",7,8.143
47,"2021-04-20 03:00:00",1,1153.121
47,"2021-04-20 03:00:00",2,21.226
47,"2021-04-20 03:00:00",3,75.823
47,"2021-04-20 03:00:00",4,30.347
47,"2021-04-20 03:00:00",5,73.42
47,"2021-04-20 03:00:00",6,50.52
47,"2021-04-20 03:00:00",7,7.448
47,"2021-04-25 22:00:00",1,423.288
47,"2021-04-25 22:00:00",2,18.075
47,"2021-04-25 22:00:00",3,70.718
47,"2021-04-25 22:00:00",4,14.951
47,"2021-04-25 22:00:00",5,22.93
47,"2021-04-25 22:00:00",6,37.167
47,"2021-04-25 22:00:00",7,7.254
48,"2021-04-19 14:00:00",1,3320.497
48,"2021-04-19 14:00:00",2,18.538
48,"2021-04-19 14:00:00",3,11.421
48,"2021-04-19 14:00:00",4,25.19
48,"2021-04-19 14:00:00",5,117.665
48,"2021-04-19 14:00:00",6,49.592
48,"2021-04-19 14:00:00",7,6.471
48,"2021-04-19 15:00:00",1,2936.015
48,"2021-04-19 15:00:00",2,16.12
48,"2021-04-19 15:00:00",3,26.097
48,"2021-04-19 15:00:00",4,32.202
48,"2021-04-19 15:00:00",5,103.178
48,"2021-04-19 15:00:00",6,44.566
48,"2021-04-19 15:00:00",7,9.174
48,"2021-04-19 17:00:00",1,1444.34
48,"2021-04-19 17:00:00",2,12.795
48,"2021-04-19 17:00:00",3,57.439
48,"2021-04-19 17:00:00",4,54.395
48,"2021-04-19 17:00:00",5,96.681
48,"2021-04-19 17:00:00",6,41.68
48,"2021-04-19 17:00:00",7,12.163
48,"2021-04-19 23:00:00",1,1824.121
48,"2021-04-19 23:00:00",2,18.292
48,"2021-04-19 23:00:00",3,73.408
48,"2021-04-19 23:00:00",4,39.656
